DUID,FUEL_TYPE,revenue_proxy,capacity_factor
SHOAL1,Natural Gas (Pipeline),15757.83,8.3328
CAPTL_WF,Wind,12887.46,2.1498
GRIFSF1,Solar,11874.27,3.7636
BWTR1,Bagasse,11794.97,7.501
WOOLNTH1,Wind,9532.63,2.4606
CONDONG1,Bagasse,9205.8,8.4433
BUTLERSG,Hydro,7516.2,6.371
GERMCRK,Landfill biogas methane,7505.43,4.2983
MBAHNTH,Coal mine waste gas,7399.9,3.2878
PIONEER,Biomass and industrial materials,6691.18,8.1231
LRSF1,Solar,6267.49,3.228
BARCSF1,Solar,5989.13,6.3079
MLSP1,Solar,5095.15,2.418
WNSF1,Solar,5012.83,2.1392
HUGSF1,Solar,4863.35,4.0856
ROYALLA1,Solar,4373.43,1.217
REPULSE,Hydro,3682.3,3.7503
RPCG,Biomass and industrial materials,3500.02,1.9819
CLUNY,Hydro,3079.21,3.1103
PORTWF,Wind,2087.15,2.0543
CULLRGWF,Wind,1924.79,3.1875
YAMBUKWF,Wind,1151.35,2.2967
CHALLHWF,Wind,336.55,2.2323
MLWF1,Wind,184.23,2.9037
PALOONA,Hydro,150.7,1.6436
YSWF1,Wind,42.58,1.3401
DIAPURWF1,Wind,1.15,5.3471
ERGT01,Black coal,0.0,0.0
KEPBG1,Battery Storage,0.0,0.5772
RUBICON,Hydro,0.0,0.0
TULLYSM1,GENERATOR,0.0,0.0
CLOVER,Hydro,0.0,0.0
GB01,Natural Gas (Pipeline),0.0,0.0
ROWALLAN,Hydro,-3.76,3.502
WAUBRAWF,Wind,-6.95,6.3931
