year,hour_of_day,REGIONID,avg_demand_mw
2026,0,NSW1,7313.71
2026,0,QLD1,6239.01
2026,0,SA1,1314.84
2026,0,TAS1,858.01
2026,0,VIC1,4464.19
2026,1,NSW1,6972.97
2026,1,QLD1,6035.91
2026,1,SA1,1287.75
2026,1,TAS1,850.36
2026,1,VIC1,4263.85
2026,2,NSW1,6782.55
2026,2,QLD1,5917.86
2026,2,SA1,1231.45
2026,2,TAS1,849.77
2026,2,VIC1,4129.85
2026,3,NSW1,6747.4
2026,3,QLD1,5898.37
2026,3,SA1,1191.61
2026,3,TAS1,860.98
2026,3,VIC1,4112.36
2026,4,NSW1,6958.71
2026,4,QLD1,5988.46
2026,4,SA1,1200.84
2026,4,TAS1,901.49
2026,4,VIC1,4297.57
2026,5,NSW1,7518.24
2026,5,QLD1,6233.27
2026,5,SA1,1254.26
2026,5,TAS1,956.97
2026,5,VIC1,4695.85
2026,6,NSW1,8084.53
2026,6,QLD1,6520.32
2026,6,SA1,1359.07
2026,6,TAS1,1033.68
2026,6,VIC1,5158.13
2026,7,NSW1,8104.94
2026,7,QLD1,6463.87
2026,7,SA1,1331.64
2026,7,TAS1,1023.65
2026,7,VIC1,5148.72
2026,8,NSW1,7838.64
2026,8,QLD1,6190.64
2026,8,SA1,1094.48
2026,8,TAS1,991.21
2026,8,VIC1,4879.22
2026,9,NSW1,7642.11
2026,9,QLD1,6044.21
2026,9,SA1,828.27
2026,9,TAS1,942.62
2026,9,VIC1,4503.09
2026,10,NSW1,7537.55
2026,10,QLD1,5897.06
2026,10,SA1,598.07
2026,10,TAS1,899.18
2026,10,VIC1,4237.89
2026,11,NSW1,7320.14
2026,11,QLD1,6020.36
2026,11,SA1,400.29
2026,11,TAS1,873.3
2026,11,VIC1,4008.58
2026,12,NSW1,7249.71
2026,12,QLD1,6089.76
2026,12,SA1,266.43
2026,12,TAS1,847.99
2026,12,VIC1,3914.72
2026,13,NSW1,7594.2
2026,13,QLD1,6162.84
2026,13,SA1,223.7
2026,13,TAS1,852.01
2026,13,VIC1,3910.17
2026,14,NSW1,7928.6
2026,14,QLD1,6390.01
2026,14,SA1,293.85
2026,14,TAS1,851.26
2026,14,VIC1,4042.84
2026,15,NSW1,8691.7
2026,15,QLD1,7007.52
2026,15,SA1,455.66
2026,15,TAS1,894.5
2026,15,VIC1,4491.85
2026,16,NSW1,9516.83
2026,16,QLD1,7698.61
2026,16,SA1,722.37
2026,16,TAS1,968.02
2026,16,VIC1,5134.93
2026,17,NSW1,9936.98
2026,17,QLD1,8178.84
2026,17,SA1,1055.42
2026,17,TAS1,1024.46
2026,17,VIC1,5605.79
2026,18,NSW1,9803.12
2026,18,QLD1,8325.62
2026,18,SA1,1391.0
2026,18,TAS1,1040.46
2026,18,VIC1,5771.55
2026,19,NSW1,9492.68
2026,19,QLD1,8106.43
2026,19,SA1,1501.89
2026,19,TAS1,1031.48
2026,19,VIC1,5623.7
2026,20,NSW1,8997.74
2026,20,QLD1,7748.75
2026,20,SA1,1455.58
2026,20,TAS1,999.59
2026,20,VIC1,5289.29
2026,21,NSW1,8549.76
2026,21,QLD1,7447.88
2026,21,SA1,1383.86
2026,21,TAS1,950.78
2026,21,VIC1,4946.03
2026,22,NSW1,8094.49
2026,22,QLD1,6914.35
2026,22,SA1,1304.72
2026,22,TAS1,911.21
2026,22,VIC1,4660.44
2026,23,NSW1,7681.12
2026,23,QLD1,6553.02
2026,23,SA1,1279.15
2026,23,TAS1,875.37
2026,23,VIC1,4712.21
