trading_day,REGIONID,market_value_proxy
2026-03-02,NSW1,11759898.91
2026-03-02,QLD1,6092485.28
2026-03-02,SA1,2006889.81
2026-03-02,TAS1,1647755.52
2026-03-02,VIC1,7470122.75
2026-03-03,NSW1,15177274.14
2026-03-03,QLD1,8724096.92
2026-03-03,SA1,2235075.02
2026-03-03,TAS1,2333032.53
2026-03-03,VIC1,6774287.65
2026-03-04,NSW1,17304304.13
2026-03-04,QLD1,11581673.07
2026-03-04,SA1,1937553.41
2026-03-04,TAS1,2037878.94
2026-03-04,VIC1,6613533.02
2026-03-05,NSW1,19979138.01
2026-03-05,QLD1,12903967.33
2026-03-05,SA1,2083568.28
2026-03-05,TAS1,1734546.28
2026-03-05,VIC1,7115855.78
2026-03-06,NSW1,18194232.77
2026-03-06,QLD1,14323725.92
2026-03-06,SA1,1535060.61
2026-03-06,TAS1,2092273.49
2026-03-06,VIC1,6038959.46
2026-03-07,NSW1,15568746.36
2026-03-07,QLD1,12683193.91
2026-03-07,SA1,382708.91
2026-03-07,TAS1,1899657.36
2026-03-07,VIC1,1607873.33
2026-03-08,NSW1,10749450.08
2026-03-08,QLD1,12541018.07
2026-03-08,SA1,219682.0
2026-03-08,TAS1,1580156.78
2026-03-08,VIC1,-466192.26
2026-03-09,NSW1,15777263.69
2026-03-09,QLD1,14818699.58
2026-03-09,SA1,1746701.54
2026-03-09,TAS1,2140838.33
2026-03-09,VIC1,4323226.85
2026-03-10,NSW1,12041038.71
2026-03-10,QLD1,9892322.81
2026-03-10,SA1,2156280.99
2026-03-10,TAS1,2441146.09
2026-03-10,VIC1,7528698.16
2026-03-11,NSW1,9718893.74
2026-03-11,QLD1,7839744.27
2026-03-11,SA1,6575.64
2026-03-11,TAS1,1659861.07
2026-03-11,VIC1,-270946.6
2026-03-12,NSW1,2542111.37
2026-03-12,QLD1,2268908.05
2026-03-12,SA1,14863.16
2026-03-12,TAS1,345643.14
2026-03-12,VIC1,23572.19
