DUID,REGIONID,discharge_mwh,charge_mwh,round_trip_efficiency_proxy
ORABESS1,NSW1,615.02,643.86,0.955
GANNB1,VIC1,206.02,237.21,0.869
TARBESS1,QLD1,2196.81,2555.4,0.86
CAPBES1,NSW1,1039.71,1226.46,0.848
RIVNB2,NSW1,551.81,655.33,0.842
SNB01,QLD1,2486.84,2953.12,0.842
DPNTB1,NSW1,204.37,243.42,0.84
ERB01,NSW1,8206.67,9841.51,0.834
RESS1,NSW1,499.41,607.59,0.822
WANDB1,QLD1,669.83,853.22,0.785
TEMPB1,SA1,1712.94,2248.95,0.762
MANNUMB1,SA1,1202.86,1615.74,0.744
BHB1,NSW1,249.73,336.52,0.742
CHBESS1,QLD1,569.1,776.53,0.733
MREHA3,VIC1,4231.7,5828.98,0.726
WDBESS2,QLD1,2163.75,3018.82,0.717
BALB1,VIC1,102.17,146.45,0.698
GREENB1,QLD1,1108.87,1609.41,0.689
RANGEB1,VIC1,2040.72,2965.53,0.688
KESSB1,VIC1,1465.01,2155.53,0.68
LBB1,SA1,154.07,229.35,0.672
BRNDBES1,QLD1,1964.12,3037.26,0.647
LDBESS1,NSW1,125.0,200.0,0.625
HPR1,SA1,658.4,1064.2,0.619
TIB1,SA1,1360.1,2214.87,0.614
WDBESS1,QLD1,1282.3,2142.39,0.599
CBWWBA1,SA1,15.0,25.17,0.596
HVWWBA1,SA1,28.81,49.0,0.588
BLYTHB1,SA1,1876.59,3194.25,0.587
ADPBA1,SA1,38.55,67.08,0.575
MREHA1,VIC1,1744.3,3057.48,0.571
MREHA2,VIC1,1723.81,3214.34,0.536
BOWWBA1,SA1,15.41,28.92,0.533
ULPBESS1,QLD1,1039.34,1995.05,0.521
LVES1,VIC1,984.9,1893.27,0.52
DALNTH1,SA1,33.92,70.89,0.479
MLB01,VIC1,5.67,11.92,0.476
LGAPBS1,SA1,2.33,5.42,0.431
TB2B1,SA1,136.67,346.25,0.395
BBATTERY1,QLD1,160.5,443.39,0.362
HBESS1,VIC1,452.04,1291.59,0.35
VBB1,VIC1,547.89,1746.58,0.314
NESBESS1,NSW1,0.5,1.67,0.3
SMTHBES1,NSW1,66.08,258.0,0.256
WALGRV1,NSW1,56.37,240.33,0.235
BUNGAMB1,SA1,38.08,165.75,0.23
LIMBESS1,NSW1,52.05,238.33,0.218
BULBES1,VIC1,89.16,412.88,0.216
PIBESS1,VIC1,36.75,173.63,0.212
WTAHB1,NSW1,130.25,1823.35,0.071
QPSFB2,NSW1,12.08,0.0,
SWANBBF1,QLD1,0.0,0.0,
QBYNB1,NSW1,0.0,0.0,
CGBESS01,SA1,0.0,0.0,
SNB02,QLD1,0.0,0.0,
NESBESS2,NSW1,0.0,0.0,
TRGBESS1,VIC1,0.0,0.0,
