event_time,e.REGIONID,FUEL_TYPE,generation_mwh
2026-03-10 14:40:00,TAS1,,236.09
2026-03-10 14:40:00,TAS1,Hydro,13.46
2026-03-10 14:40:00,TAS1,Wind,0.16
2026-03-10 14:45:00,TAS1,,237.93
2026-03-10 14:45:00,TAS1,Hydro,12.31
2026-03-10 14:45:00,TAS1,Wind,0.32
2026-03-10 14:50:00,TAS1,,241.97
2026-03-10 14:50:00,TAS1,Hydro,11.9
2026-03-10 14:50:00,TAS1,Wind,-0.2
2026-03-10 14:55:00,TAS1,,248.92
2026-03-10 14:55:00,TAS1,Hydro,11.93
2026-03-10 14:55:00,TAS1,Wind,0.77
2026-03-10 15:00:00,TAS1,,249.9
2026-03-10 15:00:00,TAS1,Hydro,13.08
2026-03-10 15:00:00,TAS1,Wind,0.57
2026-03-10 15:05:00,TAS1,,251.75
2026-03-10 15:05:00,TAS1,Hydro,12.05
2026-03-10 15:05:00,TAS1,Wind,0.91
2026-03-12 14:30:00,TAS1,,
2026-03-12 14:55:00,TAS1,,
2026-03-12 15:00:00,TAS1,,
2026-03-12 16:30:00,TAS1,,
