DUID,REGIONID,peak_discharge_mw,peak_charge_mw
ERB01,NSW1,459.98,460.0
SNB01,QLD1,260.0,250.0
WDBESS2,QLD1,255.0,180.0
WDBESS1,QLD1,252.0,180.0
BRNDBES1,QLD1,205.0,205.0
TARBESS1,QLD1,200.0,300.0
ULPBESS1,QLD1,155.0,149.0
ORABESS1,NSW1,152.55,152.55
TEMPB1,SA1,111.0,111.0
GREENB1,QLD1,110.05,100.0
MREHA3,VIC1,100.0,200.0
BLYTHB1,SA1,100.0,120.0
LVES1,VIC1,100.0,100.0
CAPBES1,NSW1,85.0,80.0
WANDB1,QLD1,85.0,75.0
CHBESS1,QLD1,75.0,50.0
RIVNB2,NSW1,65.0,65.0
TIB1,SA1,51.25,142.85
WALGRV1,NSW1,50.0,44.0
RESS1,NSW1,45.0,60.0
VBB1,VIC1,41.0,109.0
BBATTERY1,QLD1,35.0,49.0
HBESS1,VIC1,31.0,143.0
MREHA1,VIC1,27.21,200.0
TB2B1,SA1,27.1,41.0
BHB1,NSW1,25.0,40.0
DPNTB1,NSW1,25.0,25.0
BULBES1,VIC1,20.0,20.0
HPR1,SA1,12.0,78.0
BALB1,VIC1,6.0,30.0
PIBESS1,VIC1,4.0,4.0
LGAPBS1,SA1,2.0,2.0
GANNB1,VIC1,1.0,5.0
DALNTH1,SA1,1.0,5.0
MREHA2,VIC1,0.0,200.0
RANGEB1,VIC1,0.0,200.0
KESSB1,VIC1,0.0,185.0
MANNUMB1,SA1,0.0,90.0
SMTHBES1,NSW1,0.0,35.0
BUNGAMB1,SA1,0.0,30.0
WTAHB1,NSW1,0.0,25.0
LBB1,SA1,0.0,21.0
ADPBA1,SA1,0.0,6.0
MLB01,VIC1,0.0,4.0
HVWWBA1,SA1,0.0,4.0
CBWWBA1,SA1,0.0,2.0
BOWWBA1,SA1,0.0,2.0
NESBESS1,NSW1,0.0,2.0
QPSFB2,NSW1,0.0,0.0
CGBESS01,SA1,0.0,0.0
QBYNB1,NSW1,0.0,0.0
SNB02,QLD1,0.0,0.0
LIMBESS1,NSW1,0.0,0.0
SWANBBF1,QLD1,0.0,0.0
TRGBESS1,VIC1,0.0,0.0
NESBESS2,NSW1,0.0,0.0
LDBESS1,NSW1,0.0,0.0
