hour_start,REGIONID,solar_mwh
2026-03-11 00:00:00,NSW1,0.43
2026-03-11 00:00:00,QLD1,-1.0
2026-03-11 00:00:00,VIC1,0.0
2026-03-11 01:00:00,NSW1,0.43
2026-03-11 01:00:00,QLD1,-1.2
2026-03-11 01:00:00,VIC1,0.0
2026-03-11 02:00:00,NSW1,0.43
2026-03-11 02:00:00,QLD1,-1.2
2026-03-11 02:00:00,VIC1,0.0
2026-03-11 03:00:00,NSW1,0.43
2026-03-11 03:00:00,QLD1,-1.2
2026-03-11 03:00:00,VIC1,0.0
2026-03-11 04:00:00,NSW1,0.43
2026-03-11 04:00:00,QLD1,-1.2
2026-03-11 04:00:00,VIC1,0.0
2026-03-11 05:00:00,NSW1,0.43
2026-03-11 05:00:00,QLD1,-0.5
2026-03-11 05:00:00,VIC1,0.0
2026-03-11 06:00:00,NSW1,22.52
2026-03-11 06:00:00,QLD1,8.1
2026-03-11 06:00:00,VIC1,0.0
2026-03-11 07:00:00,NSW1,250.53
2026-03-11 07:00:00,QLD1,230.0
2026-03-11 07:00:00,VIC1,0.0
2026-03-11 08:00:00,NSW1,457.45
2026-03-11 08:00:00,QLD1,416.9
2026-03-11 08:00:00,VIC1,0.0
2026-03-11 09:00:00,NSW1,529.91
2026-03-11 09:00:00,QLD1,434.3
2026-03-11 09:00:00,VIC1,147.86
2026-03-11 10:00:00,NSW1,527.47
2026-03-11 10:00:00,QLD1,391.5
2026-03-11 10:00:00,VIC1,120.5
2026-03-11 11:00:00,NSW1,480.38
2026-03-11 11:00:00,QLD1,361.8
2026-03-11 11:00:00,VIC1,263.82
2026-03-11 12:00:00,NSW1,465.2
2026-03-11 12:00:00,QLD1,359.1
2026-03-11 12:00:00,VIC1,216.01
2026-03-11 13:00:00,NSW1,428.62
2026-03-11 13:00:00,QLD1,307.6
2026-03-11 13:00:00,VIC1,45.31
2026-03-11 14:00:00,NSW1,473.2
2026-03-11 14:00:00,QLD1,368.3
2026-03-11 14:00:00,VIC1,12.14
2026-03-11 15:00:00,NSW1,480.68
2026-03-11 15:00:00,QLD1,408.2
2026-03-11 15:00:00,VIC1,0.48
2026-03-11 16:00:00,NSW1,258.27
2026-03-11 16:00:00,QLD1,331.5
2026-03-11 16:00:00,VIC1,0.48
2026-03-11 17:00:00,NSW1,112.32
2026-03-11 17:00:00,QLD1,265.5
2026-03-11 17:00:00,VIC1,85.19
2026-03-11 18:00:00,NSW1,17.79
2026-03-11 18:00:00,QLD1,33.2
2026-03-11 18:00:00,VIC1,17.93
2026-03-11 19:00:00,NSW1,0.26
2026-03-11 19:00:00,QLD1,0.0
2026-03-11 19:00:00,VIC1,0.0
2026-03-11 20:00:00,NSW1,0.26
2026-03-11 20:00:00,QLD1,0.0
2026-03-11 20:00:00,VIC1,0.0
2026-03-11 21:00:00,NSW1,0.26
2026-03-11 21:00:00,QLD1,-0.3
2026-03-11 21:00:00,VIC1,0.0
2026-03-11 22:00:00,NSW1,0.26
2026-03-11 22:00:00,QLD1,-1.2
2026-03-11 22:00:00,VIC1,0.0
2026-03-11 23:00:00,NSW1,0.26
2026-03-11 23:00:00,QLD1,-1.2
2026-03-11 23:00:00,VIC1,0.0
