hour_start,REGIONID,wind_mwh
2026-03-11 00:00:00,NSW1,55.14
2026-03-11 00:00:00,TAS1,76.13
2026-03-11 00:00:00,VIC1,1469.83
2026-03-11 01:00:00,NSW1,61.13
2026-03-11 01:00:00,TAS1,89.81
2026-03-11 01:00:00,VIC1,1999.14
2026-03-11 02:00:00,NSW1,44.49
2026-03-11 02:00:00,TAS1,100.29
2026-03-11 02:00:00,VIC1,2537.51
2026-03-11 03:00:00,NSW1,10.04
2026-03-11 03:00:00,TAS1,159.6
2026-03-11 03:00:00,VIC1,3092.38
2026-03-11 04:00:00,NSW1,-0.34
2026-03-11 04:00:00,TAS1,134.41
2026-03-11 04:00:00,VIC1,3014.83
2026-03-11 05:00:00,NSW1,5.0
2026-03-11 05:00:00,TAS1,386.46
2026-03-11 05:00:00,VIC1,3068.26
2026-03-11 06:00:00,NSW1,24.77
2026-03-11 06:00:00,TAS1,278.5
2026-03-11 06:00:00,VIC1,3965.66
2026-03-11 07:00:00,NSW1,74.32
2026-03-11 07:00:00,TAS1,14.8
2026-03-11 07:00:00,VIC1,3582.23
2026-03-11 08:00:00,NSW1,51.51
2026-03-11 08:00:00,TAS1,-8.8
2026-03-11 08:00:00,VIC1,2822.35
2026-03-11 09:00:00,NSW1,222.34
2026-03-11 09:00:00,TAS1,-9.01
2026-03-11 09:00:00,VIC1,1654.9
2026-03-11 10:00:00,NSW1,857.79
2026-03-11 10:00:00,TAS1,24.29
2026-03-11 10:00:00,VIC1,1719.45
2026-03-11 11:00:00,NSW1,1243.99
2026-03-11 11:00:00,TAS1,19.24
2026-03-11 11:00:00,VIC1,1991.77
2026-03-11 12:00:00,NSW1,1508.01
2026-03-11 12:00:00,TAS1,40.78
2026-03-11 12:00:00,VIC1,2143.16
2026-03-11 13:00:00,NSW1,1720.67
2026-03-11 13:00:00,TAS1,124.46
2026-03-11 13:00:00,VIC1,1974.05
2026-03-11 14:00:00,NSW1,1795.16
2026-03-11 14:00:00,TAS1,899.26
2026-03-11 14:00:00,VIC1,1384.38
2026-03-11 15:00:00,NSW1,1724.63
2026-03-11 15:00:00,TAS1,1061.57
2026-03-11 15:00:00,VIC1,2326.53
2026-03-11 16:00:00,NSW1,1689.22
2026-03-11 16:00:00,TAS1,1245.66
2026-03-11 16:00:00,VIC1,2353.32
2026-03-11 17:00:00,NSW1,1542.39
2026-03-11 17:00:00,TAS1,1233.51
2026-03-11 17:00:00,VIC1,2374.77
2026-03-11 18:00:00,NSW1,1501.08
2026-03-11 18:00:00,TAS1,1224.52
2026-03-11 18:00:00,VIC1,3682.72
2026-03-11 19:00:00,NSW1,1417.01
2026-03-11 19:00:00,TAS1,1197.83
2026-03-11 19:00:00,VIC1,3438.93
2026-03-11 20:00:00,NSW1,1343.43
2026-03-11 20:00:00,TAS1,1075.38
2026-03-11 20:00:00,VIC1,3286.45
2026-03-11 21:00:00,NSW1,1187.92
2026-03-11 21:00:00,TAS1,1070.84
2026-03-11 21:00:00,VIC1,3037.62
2026-03-11 22:00:00,NSW1,986.06
2026-03-11 22:00:00,TAS1,1195.17
2026-03-11 22:00:00,VIC1,3033.54
2026-03-11 23:00:00,NSW1,965.52
2026-03-11 23:00:00,TAS1,1161.84
2026-03-11 23:00:00,VIC1,3435.5
