DUID,REGIONID,max_capacity_mw,avg_abs_dispatch_mw,utilisation_rate
MREHA3,VIC1,200.0,61.1,0.306
PIBESS1,VIC1,5.0,1.25,0.25
ERB01,NSW1,460.0,114.39,0.249
TEMPB1,SA1,111.0,23.8,0.214
LVES1,VIC1,100.0,18.33,0.183
MANNUMB1,SA1,100.0,16.71,0.167
BLYTHB1,SA1,200.0,31.33,0.157
RANGEB1,VIC1,200.0,31.43,0.157
MREHA2,VIC1,200.0,30.73,0.154
BRNDBES1,QLD1,205.0,31.65,0.154
MREHA1,VIC1,200.0,29.37,0.147
CAPBES1,NSW1,100.0,14.39,0.144
WDBESS2,QLD1,255.0,34.63,0.136
BULBES1,VIC1,20.0,2.68,0.134
BOWWBA1,SA1,2.0,0.26,0.132
ULPBESS1,QLD1,155.0,20.09,0.13
SNB01,QLD1,260.0,32.12,0.124
CBWWBA1,SA1,2.0,0.24,0.121
KESSB1,VIC1,185.0,22.23,0.12
HVWWBA1,SA1,4.0,0.47,0.118
