DUID,REGIONID,FUEL_TYPE,energy_mwh
WAUBRAWF,VIC1,Wind,31871.86
CAPTL_WF,NSW1,Wind,16166.39
PORTWF,VIC1,Wind,14923.4
WOOLNTH1,TAS1,Wind,12796.54
SHOAL1,NSW1,Natural Gas (Pipeline),8367.99
PIONEER,QLD1,Biomass and industrial materials,7557.8
BWTR1,NSW1,Bagasse,7243.37
CONDONG1,NSW1,Bagasse,6198.75
CHALLHWF,VIC1,Wind,5569.2
GERMCRK,QLD1,Landfill biogas methane,4605.81
CULLRGWF,NSW1,Wind,3864.89
MLWF1,VIC1,Wind,3162.12
MBAHNTH,QLD1,Coal mine waste gas,3092.9
YAMBUKWF,VIC1,Wind,3059.6
YSWF1,VIC1,Wind,2764.0
GRIFSF1,NSW1,Solar,2634.08
RPCG,QLD1,Biomass and industrial materials,2472.1
REPULSE,TAS1,Hydro,2464.24
BUTLERSG,TAS1,Hydro,2293.9
DIAPURWF1,VIC1,Wind,2039.1
