DUID,REGIONID,FUEL_TYPE,fcas_enabled_mwh_proxy
TARBESS1,QLD1,Battery Storage,7318.21
LVES1,VIC1,Battery Storage,4687.68
WANDB1,QLD1,Battery Storage,4274.38
TIB1,SA1,Battery Storage,4148.77
SMTHBES1,NSW1,Battery Storage,2575.27
WALGRV1,NSW1,Battery Storage,2402.86
MREHA3,VIC1,Battery Storage,2334.03
APD01,VIC1,LOAD,2032.08
MREHA2,VIC1,Battery Storage,1425.08
MREHA1,VIC1,Battery Storage,1406.22
LOYYB2,VIC1,Brown coal,1406.03
LOYYB1,VIC1,Brown coal,1400.18
REECE1,TAS1,Hydro,1345.25
LBB1,SA1,Battery Storage,1329.5
DRVIOT04,QLD1,UNKNOWN,1071.92
BULBES1,VIC1,Battery Storage,889.33
GORDON,TAS1,Hydro,873.65
JBUTTERS,TAS1,Hydro,867.89
POAT220,TAS1,Hydro,811.44
VBB1,VIC1,Battery Storage,793.94
