DUID,REGIONID,FUEL_TYPE,largest_interval_drop_mwh
WAUBRAWF,VIC1,Wind,-174.224152
PORTWF,VIC1,Wind,-57.999995999999996
WOOLNTH1,TAS1,Wind,-39.600002
BWTR1,NSW1,Bagasse,-28.408519000000002
YAMBUKWF,VIC1,Wind,-28.200000000000003
CHALLHWF,VIC1,Wind,-25.200001
PALOONA,TAS1,Hydro,-23.7
SHOAL1,NSW1,Natural Gas (Pipeline),-23.409997999999998
WNSF1,VIC1,Solar,-21.980001
REPULSE,TAS1,Hydro,-20.726637999999998
GRIFSF1,NSW1,Solar,-20.297551999999996
CAPTL_WF,NSW1,Wind,-19.594047999999987
GERMCRK,QLD1,Landfill biogas methane,-18.593999999999998
MBAHNTH,QLD1,Coal mine waste gas,-16.599999
LRSF1,QLD1,Solar,-14.5
YSWF1,VIC1,Wind,-14.2
RPCG,QLD1,Biomass and industrial materials,-12.500000000000002
BARCSF1,QLD1,Solar,-12.200000000000001
CLUNY,TAS1,Hydro,-11.87274
MLSP1,NSW1,Solar,-10.377001
ROYALLA1,NSW1,Solar,-9.205
HUGSF1,QLD1,Solar,-8.899999999999999
CULLRGWF,NSW1,Wind,-8.239999999999998
MLWF1,VIC1,Wind,-6.074999999999999
ROWALLAN,TAS1,Hydro,-6.064850000000001
