DUID,REGIONID,FUEL_TYPE,registered_capacity_mw,max_dispatch_mw,max_capacity_factor
GANNSF1,VIC1,Solar,1.0,50.0,50.0
MCKAY1,VIC1,Hydro,53.0,160.0,3.019
NUMURSF1,VIC1,Solar,38.0,100.0,2.632
SHGEN,NSW1,Hydro,80.0,200.0,2.5
PPCCGT,SA1,Natural Gas (Pipeline),160.0,390.0,2.438
BROKENH1,NSW1,Solar,27.0,53.0,1.963
DAYDSF1,QLD1,Solar,79.0,144.79631000000003,1.833
MANSLR1,NSW1,Solar,25.0,45.699999999999996,1.828
COLWF01,NSW1,Wind,113.0,204.688,1.811
COHUNSF1,VIC1,Solar,15.0,27.0,1.8
LKBONNY2,SA1,Wind,63.0,109.2389,1.734
WOLARSF1,NSW1,Solar,162.0,280.0,1.728
BANN1,VIC1,Solar,50.0,86.16000000000001,1.723
KIAMSF1,VIC1,Solar,119.0,200.0,1.681
DDPS1,QLD1,Natural Gas (Pipeline),280.0,470.0,1.679
COOPGWF1,QLD1,Wind,227.0,379.6705,1.673
LIMOSF11,NSW1,Solar,132.0,220.0,1.667
BULGANA1,VIC1,Wind,98.0,159.98804,1.633
BALDHWF1,VIC1,Wind,59.0,95.49100000000001,1.618
CUSF1,NSW1,Solar,231.0,345.735,1.497
MTGELWF1,VIC1,Wind,69.0,99.997,1.449
QPS3,SA1,Natural Gas (Pipeline),24.0,29.0,1.208
TUMUT3,NSW1,Hydro,1500.0,1800.0,1.2
POAT220,TAS1,Hydro,200.0,239.0,1.195
LOYYB1,VIC1,Brown coal,500.0,584.0,1.168
LOYYB2,VIC1,Brown coal,500.0,578.0,1.156
BARRON-1,QLD1,Hydro,30.0,33.0,1.1
BARRON-2,QLD1,Hydro,30.0,33.0,1.1
POAT110,TAS1,Hydro,100.0,109.0,1.09
MACKNTSH,TAS1,Hydro,80.0,87.0,1.088
FISHER,TAS1,Hydro,43.0,46.0,1.07
TRIBUTE,TAS1,Hydro,83.0,88.0,1.06
LADBROK1,SA1,Natural Gas (Pipeline),40.0,42.0,1.05
LADBROK2,SA1,Natural Gas (Pipeline),40.0,42.0,1.05
KAREEYA2,QLD1,Hydro,21.0,22.0,1.048
KAREEYA3,QLD1,Hydro,21.0,22.0,1.048
KAREEYA1,QLD1,Hydro,21.0,22.0,1.048
KAREEYA4,QLD1,Hydro,21.0,22.0,1.048
YARWUN_1,QLD1,Natural Gas (Pipeline),154.0,160.86,1.045
BW03,NSW1,Black coal,660.0,685.0,1.038
BW04,NSW1,Black coal,660.0,685.0,1.038
BW02,NSW1,Black coal,660.0,685.0,1.038
GUTHEGA,NSW1,Hydro,60.0,62.0,1.033
REECE1,TAS1,Hydro,116.0,119.0,1.026
MPP_2,QLD1,Black coal,426.0,435.0,1.021
MPP_1,QLD1,Black coal,426.0,435.0,1.021
UPPTUMUT,NSW1,Hydro,616.0,620.0,1.006
DUNDWF3,VIC1,Wind,121.0,121.59529999999998,1.005
W/HOE#2,QLD1,Hydro,285.0,285.0,1.0
LYA2,VIC1,Brown coal,530.0,530.0,1.0
